pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.63E-05,4.84E-07,,
2,6.41E-05,5.53E-07,,
3,6.19E-05,6.79E-07,,
4,5.97E-05,5.72E-07,,
5,5.75E-05,6.23E-07,,
6,5.52E-05,5.99E-07,,
7,5.30E-05,6.25E-07,,
8,5.09E-05,6.69E-07,,
9,4.88E-05,6.47E-07,,
10,4.69E-05,6.82E-07,,
11,4.52E-05,7.45E-07,,
12,4.33E-05,7.58E-07,,
13,4.14E-05,7.69E-07,,
14,3.97E-05,8.32E-07,,
15,3.82E-05,8.10E-07,,
16,3.66E-05,8.74E-07,,
17,3.52E-05,9.23E-07,,
18,3.38E-05,9.37E-07,,
19,3.24E-05,9.61E-07,,
20,3.12E-05,9.91E-07,,
21,2.99E-05,1.04E-06,,
22,2.86E-05,1.13E-06,,
23,2.75E-05,1.05E-06,,
24,2.65E-05,1.11E-06,,
25,2.52E-05,1.11E-06,,
26,2.45E-05,1.23E-06,,
27,2.35E-05,1.25E-06,,
28,2.25E-05,1.28E-06,,
29,2.18E-05,1.28E-06,,
30,2.10E-05,1.44E-06,,
31,2.01E-05,1.45E-06,,
32,1.94E-05,1.47E-06,,
33,1.87E-05,1.54E-06,,
34,1.80E-05,1.62E-06,,
35,1.73E-05,1.66E-06,,
36,1.67E-05,1.68E-06,,
37,1.60E-05,1.67E-06,,
38,1.55E-05,1.91E-06,,
39,1.52E-05,1.99E-06,,
40,1.41E-05,1.93E-06,,
41,1.36E-05,2.00E-06,,
42,1.31E-05,2.09E-06,,
43,1.27E-05,2.15E-06,,
44,1.21E-05,2.23E-06,,
45,1.17E-05,2.34E-06,,
46,1.13E-05,2.41E-06,,
47,1.09E-05,2.55E-06,,
48,1.04E-05,2.51E-06,,
49,1.01E-05,2.67E-06,,
50,9.69E-06,2.79E-06,,
51,9.34E-06,2.96E-06,,
52,9.03E-06,3.02E-06,,
53,8.64E-06,3.09E-06,,
54,8.37E-06,3.29E-06,,
55,8.13E-06,3.38E-06,,
56,7.79E-06,3.45E-06,,
57,7.49E-06,3.63E-06,,
58,7.29E-06,3.76E-06,,
59,6.97E-06,3.93E-06,,
60,6.88E-06,4.12E-06,,
61,6.52E-06,4.22E-06,,
62,6.39E-06,4.48E-06,,
63,6.27E-06,4.59E-06,,
64,5.89E-06,4.70E-06,,
65,5.70E-06,4.81E-06,,
66,5.57E-06,4.93E-06,,
67,5.31E-06,5.23E-06,,
68,5.11E-06,5.34E-06,,
69,4.98E-06,5.58E-06,,
70,4.84E-06,5.80E-06,,
71,4.67E-06,5.97E-06,,
72,4.52E-06,6.17E-06,,
73,4.37E-06,6.38E-06,,
74,4.22E-06,6.68E-06,,
75,4.02E-06,6.86E-06,,
76,3.95E-06,7.11E-06,,
77,3.73E-06,7.49E-06,,
78,3.63E-06,7.67E-06,,
79,3.55E-06,7.99E-06,,
80,3.43E-06,8.22E-06,,
81,3.32E-06,8.57E-06,,
82,3.15E-06,8.89E-06,,
83,3.08E-06,9.20E-06,,
84,2.97E-06,9.58E-06,,
85,2.88E-06,1.00E-05,,
86,2.79E-06,1.04E-05,,
87,2.72E-06,1.07E-05,,
88,2.62E-06,1.11E-05,,
89,2.50E-06,1.17E-05,,
90,2.51E-06,1.21E-05,,
91,2.38E-06,1.27E-05,,
92,2.21E-06,1.31E-05,,
93,2.24E-06,1.38E-05,,
94,2.10E-06,1.41E-05,,
95,2.05E-06,1.48E-05,,
96,1.97E-06,1.53E-05,,
97,1.94E-06,1.59E-05,,
98,1.91E-06,1.68E-05,,
99,1.79E-06,1.75E-05,,
100,1.71E-06,1.78E-05,,
101,1.73E-06,1.88E-05,,
102,1.57E-06,1.93E-05,,
103,1.54E-06,2.03E-05,,
104,1.53E-06,2.11E-05,,
105,1.47E-06,2.19E-05,,
106,1.39E-06,2.28E-05,,
107,1.33E-06,2.38E-05,,
108,1.32E-06,2.50E-05,,
109,1.32E-06,2.60E-05,,
110,1.23E-06,2.69E-05,,
111,1.21E-06,2.82E-05,,
112,1.17E-06,2.93E-05,,
113,1.19E-06,3.05E-05,,
114,1.08E-06,3.17E-05,,
115,1.06E-06,3.31E-05,,
116,1.01E-06,3.45E-05,,
117,9.86E-07,3.61E-05,,
118,9.49E-07,3.75E-05,,
119,9.28E-07,3.90E-05,,
120,9.12E-07,4.07E-05,,
121,8.88E-07,4.23E-05,,
122,8.54E-07,4.42E-05,,
123,8.46E-07,4.63E-05,,
124,8.12E-07,4.80E-05,,
125,7.51E-07,4.97E-05,,
126,7.43E-07,5.15E-05,,
127,6.81E-07,5.37E-05,,
128,6.85E-07,5.54E-05,,
