pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.05E-05,1.45E-07,,
2,5.85E-05,7.71E-08,,
3,5.63E-05,1.60E-07,,
4,5.44E-05,8.29E-08,,
5,5.20E-05,1.85E-07,,
6,4.99E-05,1.19E-07,,
7,4.79E-05,1.53E-07,,
8,4.59E-05,2.07E-07,,
9,4.39E-05,2.08E-07,,
10,4.20E-05,1.25E-07,,
11,4.05E-05,1.76E-07,,
12,3.86E-05,1.72E-07,,
13,3.70E-05,2.74E-07,,
14,3.56E-05,1.60E-07,,
15,3.42E-05,2.81E-07,,
16,3.27E-05,2.14E-07,,
17,3.14E-05,2.43E-07,,
18,3.02E-05,2.52E-07,,
19,2.92E-05,2.59E-07,,
20,2.80E-05,3.03E-07,,
21,2.69E-05,3.38E-07,,
22,2.58E-05,3.58E-07,,
23,2.47E-05,2.82E-07,,
24,2.38E-05,3.55E-07,,
25,2.29E-05,3.94E-07,,
26,2.21E-05,3.48E-07,,
27,2.13E-05,4.03E-07,,
28,2.04E-05,4.55E-07,,
29,1.97E-05,4.38E-07,,
30,1.91E-05,4.03E-07,,
31,1.82E-05,4.54E-07,,
32,1.76E-05,4.47E-07,,
33,1.68E-05,4.98E-07,,
34,1.63E-05,5.11E-07,,
35,1.57E-05,5.18E-07,,
36,1.51E-05,5.91E-07,,
37,1.46E-05,6.28E-07,,
38,1.41E-05,6.59E-07,,
39,1.38E-05,6.66E-07,,
40,1.30E-05,6.58E-07,,
41,1.24E-05,7.62E-07,,
42,1.20E-05,6.94E-07,,
43,1.15E-05,7.38E-07,,
44,1.12E-05,8.39E-07,,
45,1.08E-05,8.70E-07,,
46,1.02E-05,7.71E-07,,
47,9.93E-06,9.54E-07,,
48,9.53E-06,9.78E-07,,
49,9.26E-06,1.01E-06,,
50,8.90E-06,1.01E-06,,
51,8.51E-06,1.02E-06,,
52,8.27E-06,1.16E-06,,
53,7.95E-06,1.10E-06,,
54,7.56E-06,1.20E-06,,
55,7.33E-06,1.23E-06,,
56,7.09E-06,1.33E-06,,
57,6.74E-06,1.34E-06,,
58,6.48E-06,1.44E-06,,
59,6.28E-06,1.55E-06,,
60,6.05E-06,1.47E-06,,
61,5.88E-06,1.59E-06,,
62,5.55E-06,1.62E-06,,
63,5.41E-06,1.73E-06,,
64,5.17E-06,1.76E-06,,
65,4.91E-06,1.83E-06,,
66,4.75E-06,1.94E-06,,
67,4.61E-06,2.04E-06,,
68,4.40E-06,2.15E-06,,
69,4.25E-06,2.27E-06,,
70,4.11E-06,2.32E-06,,
71,3.95E-06,2.40E-06,,
72,3.81E-06,2.62E-06,,
73,3.58E-06,2.57E-06,,
74,3.47E-06,2.69E-06,,
75,3.37E-06,2.88E-06,,
76,3.22E-06,3.01E-06,,
77,3.07E-06,3.05E-06,,
78,2.94E-06,3.13E-06,,
79,2.83E-06,3.33E-06,,
80,2.74E-06,3.56E-06,,
81,2.67E-06,3.60E-06,,
82,2.49E-06,3.78E-06,,
83,2.41E-06,3.95E-06,,
84,2.32E-06,4.09E-06,,
85,2.23E-06,4.32E-06,,
86,2.18E-06,4.50E-06,,
87,2.05E-06,4.70E-06,,
88,1.99E-06,4.92E-06,,
89,1.97E-06,5.11E-06,,
90,1.91E-06,5.37E-06,,
91,1.80E-06,5.59E-06,,
92,1.77E-06,5.75E-06,,
93,1.65E-06,5.99E-06,,
94,1.66E-06,6.36E-06,,
95,1.56E-06,6.66E-06,,
96,1.49E-06,6.86E-06,,
97,1.46E-06,7.15E-06,,
98,1.43E-06,7.59E-06,,
99,1.41E-06,7.92E-06,,
100,1.34E-06,8.22E-06,,
101,1.26E-06,8.51E-06,,
102,1.16E-06,8.88E-06,,
103,1.20E-06,9.39E-06,,
104,1.16E-06,9.77E-06,,
105,1.16E-06,1.02E-05,,
106,1.05E-06,1.07E-05,,
107,1.01E-06,1.12E-05,,
108,9.85E-07,1.17E-05,,
109,9.88E-07,1.23E-05,,
110,9.04E-07,1.29E-05,,
111,8.94E-07,1.35E-05,,
112,8.96E-07,1.41E-05,,
113,8.59E-07,1.47E-05,,
114,8.00E-07,1.55E-05,,
115,8.16E-07,1.63E-05,,
116,7.56E-07,1.71E-05,,
117,7.22E-07,1.79E-05,,
118,7.35E-07,1.88E-05,,
119,6.62E-07,1.98E-05,,
120,6.69E-07,2.06E-05,,
121,6.24E-07,2.15E-05,,
122,5.73E-07,2.27E-05,,
123,5.69E-07,2.38E-05,,
124,6.41E-07,2.51E-05,,
125,5.64E-07,2.62E-05,,
126,4.62E-07,2.72E-05,,
127,4.96E-07,2.85E-05,,
128,4.47E-07,2.98E-05,,
