pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.01E-05,7.01E-07,,
2,5.81E-05,7.16E-07,,
3,5.60E-05,7.42E-07,,
4,5.42E-05,7.49E-07,,
5,5.21E-05,7.35E-07,,
6,5.01E-05,7.56E-07,,
7,4.81E-05,7.43E-07,,
8,4.62E-05,8.18E-07,,
9,4.44E-05,9.15E-07,,
10,4.27E-05,8.29E-07,,
11,4.10E-05,8.93E-07,,
12,3.93E-05,9.14E-07,,
13,3.77E-05,9.51E-07,,
14,3.62E-05,1.02E-06,,
15,3.48E-05,1.05E-06,,
16,3.34E-05,1.09E-06,,
17,3.20E-05,1.07E-06,,
18,3.09E-05,1.13E-06,,
19,2.96E-05,1.15E-06,,
20,2.85E-05,1.21E-06,,
21,2.75E-05,1.25E-06,,
22,2.62E-05,1.32E-06,,
23,2.51E-05,1.36E-06,,
24,2.42E-05,1.39E-06,,
25,2.31E-05,1.35E-06,,
26,2.23E-05,1.51E-06,,
27,2.13E-05,1.51E-06,,
28,2.05E-05,1.54E-06,,
29,1.98E-05,1.61E-06,,
30,1.90E-05,1.73E-06,,
31,1.82E-05,1.72E-06,,
32,1.76E-05,1.84E-06,,
33,1.69E-05,1.83E-06,,
34,1.61E-05,1.88E-06,,
35,1.57E-05,2.03E-06,,
36,1.50E-05,1.99E-06,,
37,1.46E-05,2.15E-06,,
38,1.40E-05,2.15E-06,,
39,1.38E-05,2.38E-06,,
40,1.30E-05,2.39E-06,,
41,1.24E-05,2.39E-06,,
42,1.20E-05,2.48E-06,,
43,1.15E-05,2.59E-06,,
44,1.12E-05,2.63E-06,,
45,1.08E-05,2.72E-06,,
46,1.05E-05,2.81E-06,,
47,9.98E-06,2.89E-06,,
48,9.74E-06,3.10E-06,,
49,9.34E-06,3.15E-06,,
50,9.02E-06,3.22E-06,,
51,8.72E-06,3.35E-06,,
52,8.41E-06,3.52E-06,,
53,8.14E-06,3.61E-06,,
54,7.80E-06,3.77E-06,,
55,7.56E-06,3.94E-06,,
56,7.28E-06,4.01E-06,,
57,7.00E-06,4.19E-06,,
58,6.77E-06,4.38E-06,,
59,6.57E-06,4.39E-06,,
60,6.40E-06,4.67E-06,,
61,6.16E-06,4.76E-06,,
62,5.92E-06,4.98E-06,,
63,5.73E-06,5.18E-06,,
64,5.52E-06,5.27E-06,,
65,5.31E-06,5.51E-06,,
66,5.08E-06,5.65E-06,,
67,5.01E-06,5.88E-06,,
68,4.75E-06,6.16E-06,,
69,4.60E-06,6.31E-06,,
70,4.45E-06,6.50E-06,,
71,4.33E-06,6.78E-06,,
72,4.19E-06,7.08E-06,,
73,4.03E-06,7.27E-06,,
74,3.86E-06,7.52E-06,,
75,3.78E-06,7.73E-06,,
76,3.61E-06,8.01E-06,,
77,3.52E-06,8.33E-06,,
78,3.37E-06,8.56E-06,,
79,3.34E-06,9.02E-06,,
80,3.18E-06,9.25E-06,,
81,3.03E-06,9.49E-06,,
82,2.98E-06,9.90E-06,,
83,2.83E-06,1.03E-05,,
84,2.73E-06,1.08E-05,,
85,2.60E-06,1.12E-05,,
86,2.54E-06,1.15E-05,,
87,2.53E-06,1.20E-05,,
88,2.39E-06,1.25E-05,,
89,2.31E-06,1.30E-05,,
90,2.25E-06,1.35E-05,,
91,2.16E-06,1.40E-05,,
92,2.12E-06,1.44E-05,,
93,2.02E-06,1.51E-05,,
94,1.96E-06,1.55E-05,,
95,1.95E-06,1.63E-05,,
96,1.82E-06,1.68E-05,,
97,1.80E-06,1.74E-05,,
98,1.82E-06,1.82E-05,,
99,1.68E-06,1.90E-05,,
100,1.62E-06,1.95E-05,,
101,1.59E-06,2.02E-05,,
102,1.55E-06,2.09E-05,,
103,1.44E-06,2.17E-05,,
104,1.42E-06,2.25E-05,,
105,1.38E-06,2.33E-05,,
106,1.26E-06,2.42E-05,,
107,1.29E-06,2.52E-05,,
108,1.26E-06,2.63E-05,,
109,1.20E-06,2.72E-05,,
110,1.23E-06,2.82E-05,,
111,1.12E-06,2.95E-05,,
112,1.15E-06,3.05E-05,,
113,1.05E-06,3.15E-05,,
114,1.04E-06,3.26E-05,,
115,1.04E-06,3.39E-05,,
116,9.77E-07,3.52E-05,,
117,9.80E-07,3.67E-05,,
118,9.62E-07,3.80E-05,,
119,8.82E-07,3.95E-05,,
120,8.60E-07,4.09E-05,,
121,7.61E-07,4.24E-05,,
122,8.26E-07,4.40E-05,,
123,8.35E-07,4.58E-05,,
124,7.58E-07,4.73E-05,,
125,7.58E-07,4.89E-05,,
126,7.94E-07,5.05E-05,,
127,6.64E-07,5.21E-05,,
128,7.06E-07,5.38E-05,,
