pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.86E-05,1.16E-06,,
2,4.69E-05,1.24E-06,,
3,4.52E-05,1.14E-06,,
4,4.35E-05,1.24E-06,,
5,4.17E-05,1.27E-06,,
6,3.99E-05,1.31E-06,,
7,3.84E-05,1.37E-06,,
8,3.70E-05,1.32E-06,,
9,3.54E-05,1.39E-06,,
10,3.39E-05,1.47E-06,,
11,3.26E-05,1.52E-06,,
12,3.12E-05,1.56E-06,,
13,2.99E-05,1.53E-06,,
14,2.87E-05,1.61E-06,,
15,2.77E-05,1.67E-06,,
16,2.65E-05,1.65E-06,,
17,2.55E-05,1.79E-06,,
18,2.46E-05,1.88E-06,,
19,2.36E-05,1.87E-06,,
20,2.27E-05,1.87E-06,,
21,2.20E-05,1.97E-06,,
22,2.11E-05,2.01E-06,,
23,2.03E-05,2.00E-06,,
24,1.96E-05,2.08E-06,,
25,1.89E-05,2.25E-06,,
26,1.82E-05,2.27E-06,,
27,1.76E-05,2.29E-06,,
28,1.69E-05,2.36E-06,,
29,1.64E-05,2.46E-06,,
30,1.58E-05,2.53E-06,,
31,1.52E-05,2.61E-06,,
32,1.46E-05,2.67E-06,,
33,1.41E-05,2.76E-06,,
34,1.35E-05,2.85E-06,,
35,1.33E-05,2.91E-06,,
36,1.27E-05,2.99E-06,,
37,1.24E-05,3.10E-06,,
38,1.19E-05,3.25E-06,,
39,1.17E-05,3.32E-06,,
40,1.11E-05,3.35E-06,,
41,1.05E-05,3.48E-06,,
42,1.03E-05,3.59E-06,,
43,1.00E-05,3.73E-06,,
44,9.65E-06,3.85E-06,,
45,9.22E-06,3.97E-06,,
46,9.02E-06,4.01E-06,,
47,8.67E-06,4.17E-06,,
48,8.44E-06,4.25E-06,,
49,8.14E-06,4.40E-06,,
50,7.84E-06,4.48E-06,,
51,7.70E-06,4.74E-06,,
52,7.41E-06,4.92E-06,,
53,7.22E-06,5.05E-06,,
54,6.93E-06,5.17E-06,,
55,6.72E-06,5.29E-06,,
56,6.49E-06,5.47E-06,,
57,6.21E-06,5.63E-06,,
58,6.07E-06,5.84E-06,,
59,5.89E-06,6.01E-06,,
60,5.74E-06,6.11E-06,,
61,5.45E-06,6.37E-06,,
62,5.32E-06,6.49E-06,,
63,5.22E-06,6.80E-06,,
64,5.06E-06,6.98E-06,,
65,4.81E-06,7.15E-06,,
66,4.71E-06,7.37E-06,,
67,4.54E-06,7.63E-06,,
68,4.38E-06,7.87E-06,,
69,4.24E-06,8.04E-06,,
70,4.08E-06,8.34E-06,,
71,3.98E-06,8.57E-06,,
72,3.92E-06,8.95E-06,,
73,3.75E-06,9.15E-06,,
74,3.68E-06,9.51E-06,,
75,3.58E-06,9.80E-06,,
76,3.40E-06,1.02E-05,,
77,3.37E-06,1.04E-05,,
78,3.21E-06,1.08E-05,,
79,3.11E-06,1.11E-05,,
80,3.00E-06,1.15E-05,,
81,2.88E-06,1.18E-05,,
82,2.86E-06,1.23E-05,,
83,2.74E-06,1.27E-05,,
84,2.61E-06,1.31E-05,,
85,2.60E-06,1.36E-05,,
86,2.50E-06,1.40E-05,,
87,2.43E-06,1.46E-05,,
88,2.35E-06,1.49E-05,,
89,2.25E-06,1.56E-05,,
90,2.16E-06,1.61E-05,,
91,2.14E-06,1.67E-05,,
92,2.06E-06,1.73E-05,,
93,2.05E-06,1.79E-05,,
94,1.95E-06,1.84E-05,,
95,1.90E-06,1.91E-05,,
96,1.81E-06,1.99E-05,,
97,1.79E-06,2.06E-05,,
98,1.75E-06,2.14E-05,,
99,1.65E-06,2.21E-05,,
100,1.61E-06,2.29E-05,,
101,1.55E-06,2.36E-05,,
102,1.57E-06,2.43E-05,,
103,1.48E-06,2.53E-05,,
104,1.44E-06,2.62E-05,,
105,1.41E-06,2.71E-05,,
106,1.35E-06,2.80E-05,,
107,1.34E-06,2.92E-05,,
108,1.27E-06,3.01E-05,,
109,1.18E-06,3.11E-05,,
110,1.21E-06,3.24E-05,,
111,1.15E-06,3.37E-05,,
112,1.18E-06,3.48E-05,,
113,1.09E-06,3.62E-05,,
114,1.07E-06,3.74E-05,,
115,1.04E-06,3.87E-05,,
116,9.85E-07,4.04E-05,,
117,9.70E-07,4.19E-05,,
118,9.30E-07,4.33E-05,,
119,8.94E-07,4.49E-05,,
120,9.23E-07,4.67E-05,,
121,8.55E-07,4.84E-05,,
122,8.75E-07,5.04E-05,,
123,8.02E-07,5.22E-05,,
124,7.97E-07,5.41E-05,,
125,7.55E-07,5.59E-05,,
126,7.50E-07,5.79E-05,,
127,7.64E-07,5.98E-05,,
128,7.07E-07,6.17E-05,,
