pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.57E-05,1.01E-06,,
2,4.42E-05,9.49E-07,,
3,4.28E-05,9.69E-07,,
4,4.15E-05,1.05E-06,,
5,3.99E-05,1.11E-06,,
6,3.84E-05,9.97E-07,,
7,3.71E-05,1.15E-06,,
8,3.56E-05,1.14E-06,,
9,3.43E-05,1.21E-06,,
10,3.30E-05,1.29E-06,,
11,3.19E-05,1.26E-06,,
12,3.07E-05,1.34E-06,,
13,2.94E-05,1.31E-06,,
14,2.84E-05,1.34E-06,,
15,2.75E-05,1.40E-06,,
16,2.62E-05,1.44E-06,,
17,2.53E-05,1.50E-06,,
18,2.43E-05,1.53E-06,,
19,2.34E-05,1.57E-06,,
20,2.26E-05,1.63E-06,,
21,2.18E-05,1.64E-06,,
22,2.08E-05,1.71E-06,,
23,2.01E-05,1.71E-06,,
24,1.94E-05,1.81E-06,,
25,1.84E-05,1.85E-06,,
26,1.78E-05,1.90E-06,,
27,1.71E-05,1.93E-06,,
28,1.65E-05,2.02E-06,,
29,1.60E-05,2.06E-06,,
30,1.54E-05,2.17E-06,,
31,1.47E-05,2.27E-06,,
32,1.42E-05,2.28E-06,,
33,1.36E-05,2.31E-06,,
34,1.31E-05,2.37E-06,,
35,1.27E-05,2.51E-06,,
36,1.22E-05,2.50E-06,,
37,1.19E-05,2.67E-06,,
38,1.14E-05,2.84E-06,,
39,1.13E-05,2.91E-06,,
40,1.05E-05,2.91E-06,,
41,1.01E-05,2.94E-06,,
42,9.74E-06,3.10E-06,,
43,9.45E-06,3.12E-06,,
44,9.10E-06,3.23E-06,,
45,8.82E-06,3.43E-06,,
46,8.38E-06,3.49E-06,,
47,8.29E-06,3.55E-06,,
48,7.92E-06,3.63E-06,,
49,7.70E-06,3.73E-06,,
50,7.37E-06,3.98E-06,,
51,7.16E-06,4.08E-06,,
52,6.91E-06,4.17E-06,,
53,6.67E-06,4.38E-06,,
54,6.37E-06,4.38E-06,,
55,6.24E-06,4.61E-06,,
56,6.02E-06,4.70E-06,,
57,5.80E-06,4.85E-06,,
58,5.68E-06,4.97E-06,,
59,5.42E-06,5.25E-06,,
60,5.29E-06,5.32E-06,,
61,5.12E-06,5.49E-06,,
62,4.95E-06,5.72E-06,,
63,4.82E-06,5.92E-06,,
64,4.61E-06,6.11E-06,,
65,4.48E-06,6.20E-06,,
66,4.29E-06,6.45E-06,,
67,4.14E-06,6.60E-06,,
68,3.96E-06,6.87E-06,,
69,3.91E-06,7.17E-06,,
70,3.76E-06,7.21E-06,,
71,3.58E-06,7.48E-06,,
72,3.54E-06,7.79E-06,,
73,3.39E-06,7.95E-06,,
74,3.25E-06,8.24E-06,,
75,3.18E-06,8.45E-06,,
76,3.09E-06,8.89E-06,,
77,2.95E-06,9.08E-06,,
78,2.88E-06,9.43E-06,,
79,2.74E-06,9.59E-06,,
80,2.65E-06,1.01E-05,,
81,2.58E-06,1.04E-05,,
82,2.51E-06,1.07E-05,,
83,2.42E-06,1.12E-05,,
84,2.36E-06,1.16E-05,,
85,2.24E-06,1.20E-05,,
86,2.19E-06,1.23E-05,,
87,2.11E-06,1.28E-05,,
88,2.06E-06,1.34E-05,,
89,1.99E-06,1.39E-05,,
90,1.87E-06,1.43E-05,,
91,1.87E-06,1.48E-05,,
92,1.79E-06,1.53E-05,,
93,1.77E-06,1.59E-05,,
94,1.66E-06,1.63E-05,,
95,1.60E-06,1.70E-05,,
96,1.59E-06,1.75E-05,,
97,1.55E-06,1.82E-05,,
98,1.49E-06,1.91E-05,,
99,1.41E-06,1.97E-05,,
100,1.38E-06,2.03E-05,,
101,1.35E-06,2.10E-05,,
102,1.24E-06,2.17E-05,,
103,1.22E-06,2.27E-05,,
104,1.19E-06,2.34E-05,,
105,1.16E-06,2.43E-05,,
106,1.12E-06,2.52E-05,,
107,1.11E-06,2.63E-05,,
108,1.05E-06,2.72E-05,,
109,1.07E-06,2.84E-05,,
110,1.00E-06,2.93E-05,,
111,9.56E-07,3.06E-05,,
112,9.23E-07,3.16E-05,,
113,9.43E-07,3.29E-05,,
114,9.13E-07,3.41E-05,,
115,8.33E-07,3.53E-05,,
116,8.37E-07,3.69E-05,,
117,8.11E-07,3.84E-05,,
118,7.78E-07,3.97E-05,,
119,7.69E-07,4.14E-05,,
120,7.68E-07,4.30E-05,,
121,6.88E-07,4.46E-05,,
122,7.31E-07,4.65E-05,,
123,6.86E-07,4.83E-05,,
124,7.04E-07,5.01E-05,,
125,6.47E-07,5.19E-05,,
126,5.51E-07,5.37E-05,,
127,5.52E-07,5.55E-05,,
128,6.15E-07,5.75E-05,,
