pixel,reflectance1,reflectance2,absorption1,absorption2
1,5.94E-05,1.14E-06,,
2,5.77E-05,1.24E-06,,
3,5.58E-05,1.23E-06,,
4,5.43E-05,1.30E-06,,
5,5.24E-05,1.33E-06,,
6,5.06E-05,1.33E-06,,
7,4.90E-05,1.45E-06,,
8,4.72E-05,1.43E-06,,
9,4.53E-05,1.46E-06,,
10,4.38E-05,1.50E-06,,
11,4.23E-05,1.58E-06,,
12,4.07E-05,1.56E-06,,
13,3.92E-05,1.61E-06,,
14,3.79E-05,1.65E-06,,
15,3.67E-05,1.69E-06,,
16,3.52E-05,1.79E-06,,
17,3.39E-05,1.75E-06,,
18,3.27E-05,1.86E-06,,
19,3.16E-05,1.92E-06,,
20,3.05E-05,1.91E-06,,
21,2.96E-05,2.03E-06,,
22,2.85E-05,2.04E-06,,
23,2.74E-05,2.05E-06,,
24,2.65E-05,2.19E-06,,
25,2.55E-05,2.13E-06,,
26,2.47E-05,2.36E-06,,
27,2.38E-05,2.36E-06,,
28,2.30E-05,2.44E-06,,
29,2.24E-05,2.44E-06,,
30,2.16E-05,2.54E-06,,
31,2.08E-05,2.61E-06,,
32,2.00E-05,2.62E-06,,
33,1.95E-05,2.75E-06,,
34,1.87E-05,2.79E-06,,
35,1.83E-05,2.99E-06,,
36,1.76E-05,2.90E-06,,
37,1.71E-05,3.06E-06,,
38,1.64E-05,3.10E-06,,
39,1.63E-05,3.41E-06,,
40,1.52E-05,3.27E-06,,
41,1.46E-05,3.36E-06,,
42,1.42E-05,3.44E-06,,
43,1.37E-05,3.59E-06,,
44,1.34E-05,3.66E-06,,
45,1.28E-05,3.75E-06,,
46,1.23E-05,3.82E-06,,
47,1.21E-05,3.99E-06,,
48,1.16E-05,3.99E-06,,
49,1.13E-05,4.16E-06,,
50,1.09E-05,4.36E-06,,
51,1.06E-05,4.51E-06,,
52,1.02E-05,4.54E-06,,
53,9.96E-06,4.64E-06,,
54,9.61E-06,4.81E-06,,
55,9.33E-06,5.05E-06,,
56,9.05E-06,5.11E-06,,
57,8.69E-06,5.26E-06,,
58,8.48E-06,5.47E-06,,
59,8.12E-06,5.49E-06,,
60,7.91E-06,5.78E-06,,
61,7.70E-06,5.88E-06,,
62,7.42E-06,6.09E-06,,
63,7.30E-06,6.28E-06,,
64,7.03E-06,6.46E-06,,
65,6.73E-06,6.56E-06,,
66,6.52E-06,6.85E-06,,
67,6.32E-06,7.01E-06,,
68,6.18E-06,7.18E-06,,
69,5.91E-06,7.45E-06,,
70,5.71E-06,7.55E-06,,
71,5.61E-06,7.84E-06,,
72,5.39E-06,7.99E-06,,
73,5.23E-06,8.27E-06,,
74,5.05E-06,8.51E-06,,
75,4.91E-06,8.89E-06,,
76,4.76E-06,9.10E-06,,
77,4.58E-06,9.24E-06,,
78,4.45E-06,9.65E-06,,
79,4.31E-06,9.89E-06,,
80,4.17E-06,1.03E-05,,
81,4.10E-06,1.07E-05,,
82,3.92E-06,1.09E-05,,
83,3.90E-06,1.13E-05,,
84,3.74E-06,1.17E-05,,
85,3.62E-06,1.20E-05,,
86,3.49E-06,1.23E-05,,
87,3.43E-06,1.27E-05,,
88,3.33E-06,1.32E-05,,
89,3.25E-06,1.37E-05,,
90,3.18E-06,1.43E-05,,
91,3.08E-06,1.45E-05,,
92,2.94E-06,1.50E-05,,
93,2.86E-06,1.55E-05,,
94,2.85E-06,1.59E-05,,
95,2.74E-06,1.65E-05,,
96,2.63E-06,1.69E-05,,
97,2.56E-06,1.77E-05,,
98,2.54E-06,1.83E-05,,
99,2.48E-06,1.89E-05,,
100,2.41E-06,1.94E-05,,
101,2.30E-06,1.98E-05,,
102,2.22E-06,2.04E-05,,
103,2.18E-06,2.11E-05,,
104,2.13E-06,2.19E-05,,
105,2.12E-06,2.26E-05,,
106,1.98E-06,2.32E-05,,
107,1.99E-06,2.42E-05,,
108,1.93E-06,2.47E-05,,
109,1.83E-06,2.56E-05,,
110,1.78E-06,2.64E-05,,
111,1.76E-06,2.75E-05,,
112,1.77E-06,2.85E-05,,
113,1.65E-06,2.93E-05,,
114,1.62E-06,3.03E-05,,
115,1.60E-06,3.13E-05,,
116,1.51E-06,3.24E-05,,
117,1.45E-06,3.36E-05,,
118,1.47E-06,3.48E-05,,
119,1.42E-06,3.60E-05,,
120,1.40E-06,3.74E-05,,
121,1.32E-06,3.86E-05,,
122,1.31E-06,4.01E-05,,
123,1.24E-06,4.17E-05,,
124,1.21E-06,4.31E-05,,
125,1.17E-06,4.46E-05,,
126,1.18E-06,4.60E-05,,
127,1.07E-06,4.76E-05,,
128,1.10E-06,4.94E-05,,
